alto,ancho,canales,tiempo_promedio
3648,5472,3,0.14043331146240234
3168,4752,3,0.08102226257324219
4160,6240,3,0.30876827239990234
5000,5000,3,0.19879460334777832
3400,5769,3,0.21911406517028809
7008,4672,3,0.4481770992279053
7952,5304,3,0.510132908821106
2700,2160,3,0.12822699546813965
4207,2805,3,0.11643791198730469
7437,4958,3,0.3140690326690674
4706,7105,3,0.23574447631835938
4550,3033,3,0.10523819923400879
4416,2944,3,0.1751999855041504
4240,2832,3,0.12736201286315918
3660,2445,3,0.10499286651611328
3043,2017,3,0.11569643020629883
8234,5489,3,0.525442361831665
5272,3948,3,0.39334964752197266
8256,5504,3,0.829627275466919
6306,4204,3,0.4407503604888916
3625,2433,3,0.12751078605651855
2433,3625,3,0.12791657447814941
5333,4000,3,0.3340489864349365
8192,5464,3,0.4517357349395752
3840,2560,3,0.10730242729187012
3265,5324,3,0.19957661628723145
3331,5422,3,0.22403216361999512
3344,5367,3,0.1782701015472412
5468,3509,3,0.2976689338684082
5575,3787,3,0.2347865104675293
3000,3000,3,0.11681032180786133
2560,2560,3,0.07683396339416504
4320,4320,3,0.2249157428741455
5910,3940,3,0.2818484306335449
5177,7765,3,0.517012357711792
5091,7637,3,0.4688084125518799
6336,9504,3,0.7265651226043701
5760,8640,3,0.5121475458145142
5792,8688,3,0.5222370624542236
5461,8192,3,0.7054388523101807
5841,3894,3,0.33621859550476074
4096,3072,3,0.10061144828796387
6000,9000,3,0.5203812122344971
5472,3648,3,0.26470446586608887
7317,4880,3,0.38556814193725586
5355,3570,3,0.1712658405303955
3500,2333,3,0.09337759017944336
6000,4000,3,0.3381810188293457
3524,5625,3,0.24782562255859375
6947,3908,3,0.3816542625427246
6720,4480,3,0.24488520622253418
3637,2433,3,0.13885951042175293
7643,11465,3,0.8919916152954102
6936,4624,3,0.39510393142700195
5600,4000,3,0.1749589443206787
3720,5577,3,0.22747540473937988
4000,6000,3,0.3547987937927246
2602,3902,3,0.1391003131866455
3130,2207,3,0.10372543334960938
3130,2206,3,0.11031413078308105
6906,4604,3,0.40210795402526855
6775,4517,3,0.37320756912231445
6240,4160,3,0.4590623378753662
4320,7680,3,0.5651898384094238
5250,7000,3,0.48180508613586426
3780,6720,3,0.3417236804962158
2783,4175,3,0.09708595275878906
5428,3619,3,0.21883296966552734
4326,2884,3,0.14512968063354492
5196,3464,3,0.1937803030014038
3464,5196,3,0.19307899475097656
3651,5477,3,0.2057180404663086
6000,3368,3,0.3083491325378418
3044,1942,3,0.0921943187713623
6459,4239,3,0.5961918830871582
4492,6774,3,0.47138547897338867
4278,6584,3,0.3827195167541504
3944,2958,3,0.17890119552612305
3827,2870,3,0.12549042701721191
5304,7952,3,0.23754525184631348
3024,2005,3,0.09073567390441895
2729,4093,3,0.14140725135803223
6902,5177,3,0.25481581687927246
4662,6993,3,0.3518805503845215
2000,3008,3,0.037663936614990234
2397,3578,3,0.11588454246520996
3911,5867,3,0.3121039867401123
128,128,3,0.0028302669525146484
144,144,3,0.0006709098815917969
